customer_id,product_id,purchase_date,page_views,time_spent,category,price,ratings
28,103,2023-01-15,28,154,Home & Kitchen,200,4.2
2,113,2023-03-29,78,282,Furniture,780,3.9
16,137,2023-04-15,79,254,Office Supplies,510,3.7
57,102,2023-04-02,68,285,Clothing,50,3.8
60,122,2023-04-03,79,333,Books & Media,330,4.7
5,131,2023-02-20,55,225,Pet Supplies,380,3.9
42,128,2023-04-15,69,255,Automotive,150,3.8
4,125,2023-02-28,40,211,Health & Wellness,70,3.5
49,102,2023-01-24,35,181,Clothing,50,3.8
28,101,2023-03-16,60,278,Electronics,500,4.5
48,102,2023-04-03,75,246,Clothing,50,3.8
20,140,2023-03-21,69,310,Food & Grocery,550,4.2
20,131,2023-04-14,81,367,Pet Supplies,380,3.9
44,101,2023-02-18,50,228,Electronics,500,4.5
42,119,2023-04-09,63,233,Toys & Games,540,4.4
64,102,2023-03-20,64,240,Clothing,50,3.8
44,119,2023-01-28,40,191,Toys & Games,540,4.4
80,103,2023-04-10,84,332,Home & Kitchen,200,4.2
73,103,2023-02-10,40,217,Home & Kitchen,200,4.2
20,101,2023-02-16,50,250,Electronics,500,4.5
59,134,2023-01-29,39,192,Jewelry & Accessories,170,4.0
74,140,2023-03-29,66,243,Food & Grocery,550,4.2
85,102,2023-03-26,68,322,Clothing,50,3.8
30,120,2023-01-01,35,120,Toys & Games,230,4.0
28,104,2023-02-07,38,192,Beauty,30,4.0
68,116,2023-02-01,44,192,Sports & Outdoors,650,3.9
60,104,2023-02-12,53,247,Beauty,30,4.0
63,134,2023-04-10,68,258,Jewelry & Accessories,170,4.0
16,140,2023-04-03,75,233,Food & Grocery,550,4.2
22,119,2023-03-08,67,274,Toys & Games,540,4.4
74,104,2023-01-05,32,130,Beauty,30,4.0
2,137,2023-02-24,61,212,Office Supplies,510,3.7
39,102,2023-01-01,33,122,Clothing,50,3.8
69,128,2023-03-16,65,245,Automotive,150,3.8
21,116,2023-02-04,48,221,Sports & Outdoors,650,3.9
61,102,2023-01-20,42,114,Clothing,50,3.8
57,131,2023-02-19,48,188,Pet Supplies,380,3.9
23,122,2023-04-09,70,359,Books & Media,330,4.7
63,113,2023-04-25,78,306,Furniture,780,3.9
7,102,2023-04-02,68,285,Clothing,50,3.8
2,101,2023-01-26,38,133,Electronics,500,4.5
29,102,2023-01-24,48,196,Clothing,50,3.8
51,140,2023-02-10,44,171,Food & Grocery,550,4.2
58,115,2023-01-01,29,91,Furniture,750,3.6
51,122,2023-01-18,34,147,Books & Media,330,4.7
73,104,2023-03-01,49,261,Beauty,30,4.0
75,131,2023-03-07,55,275,Pet Supplies,380,3.9
12,113,2023-02-13,54,159,Furniture,780,3.9
40,134,2023-02-13,48,246,Jewelry & Accessories,170,4.0
27,119,2023-04-11,70,312,Toys & Games,540,4.4
32,128,2023-01-18,44,151,Automotive,150,3.8
15,140,2023-03-16,74,270,Food & Grocery,550,4.2
9,103,2023-03-04,57,257,Home & Kitchen,200,4.2
56,104,2023-04-05,69,230,Beauty,30,4.0
23,134,2023-01-03,25,147,Jewelry & Accessories,170,4.0
24,131,2023-04-26,83,313,Pet Supplies,380,3.9
48,116,2023-03-06,61,217,Sports & Outdoors,650,3.9
19,101,2023-03-30,68,274,Electronics,500,4.5
78,128,2023-03-10,54,257,Automotive,150,3.8
58,140,2023-03-28,74,264,Food & Grocery,550,4.2
82,101,2023-01-23,50,177,Electronics,500,4.5
60,119,2023-03-03,63,270,Toys & Games,540,4.4
55,113,2023-02-26,62,246,Furniture,780,3.9
69,119,2023-03-07,62,217,Toys & Games,540,4.4
9,116,2023-03-14,62,271,Sports & Outdoors,650,3.9
80,101,2023-01-17,43,173,Electronics,500,4.5
49,104,2023-01-16,31,159,Beauty,30,4.0
38,122,2023-02-11,55,179,Books & Media,330,4.7
81,116,2023-01-13,32,125,Sports & Outdoors,650,3.9
45,125,2023-02-07,54,202,Health & Wellness,70,3.5
45,140,2023-02-18,58,228,Food & Grocery,550,4.2
65,134,2023-03-29,81,304,Jewelry & Accessories,170,4.0
17,140,2023-03-02,60,209,Food & Grocery,550,4.2
66,125,2023-03-23,68,209,Health & Wellness,70,3.5
25,131,2023-03-07,55,275,Pet Supplies,380,3.9
3,104,2023-01-24,42,192,Beauty,30,4.0
31,128,2023-02-25,54,202,Automotive,150,3.8
44,116,2023-01-04,25,148,Sports & Outdoors,650,3.9
17,131,2023-03-27,78,264,Pet Supplies,380,3.9
83,120,2023-01-01,34,139,Toys & Games,230,4.0
41,134,2023-03-02,64,240,Jewelry & Accessories,170,4.0
39,131,2023-04-11,78,327,Pet Supplies,380,3.9
75,116,2023-04-05,67,322,Sports & Outdoors,650,3.9
27,116,2023-03-11,57,243,Sports & Outdoors,650,3.9
13,122,2023-02-24,48,187,Books & Media,330,4.7
26,128,2023-01-28,42,197,Automotive,150,3.8
15,102,2023-01-20,43,156,Clothing,50,3.8
79,125,2023-03-11,73,287,Health & Wellness,70,3.5
67,137,2023-03-14,66,228,Office Supplies,510,3.7
50,104,2023-03-29,70,305,Beauty,30,4.0
31,104,2023-01-27,39,135,Beauty,30,4.0
16,134,2023-04-30,83,267,Jewelry & Accessories,170,4.0
80,122,2023-01-29,47,201,Books & Media,330,4.7
75,103,2023-03-29,64,312,Home & Kitchen,200,4.2
71,131,2023-01-09,32,174,Pet Supplies,380,3.9
1,104,2023-04-11,81,299,Beauty,30,4.0
21,101,2023-03-20,74,320,Electronics,500,4.5
79,122,2023-03-03,68,276,Books & Media,330,4.7
35,104,2023-03-21,65,294,Beauty,30,4.0
73,131,2023-01-14,31,173,Pet Supplies,380,3.9
30,103,2023-04-10,84,332,Home & Kitchen,200,4.2
72,101,2023-04-06,76,314,Electronics,500,4.5
2,140,2023-02-13,54,185,Food & Grocery,550,4.2
73,122,2023-04-09,70,359,Books & Media,330,4.7
17,122,2023-02-08,48,162,Books & Media,330,4.7
6,104,2023-04-05,69,230,Beauty,30,4.0
72,128,2023-03-22,73,293,Automotive,150,3.8
80,120,2023-01-01,35,120,Toys & Games,230,4.0
62,116,2023-02-25,64,207,Sports & Outdoors,650,3.9
51,104,2023-04-11,81,299,Beauty,30,4.0
66,101,2023-02-24,59,165,Electronics,500,4.5
25,103,2023-03-29,64,312,Home & Kitchen,200,4.2
26,125,2023-03-03,54,259,Health & Wellness,70,3.5
37,137,2023-01-16,41,148,Office Supplies,510,3.7
32,113,2023-03-27,87,323,Furniture,780,3.9
6,128,2023-05-10,81,288,Automotive,150,3.8
47,104,2023-03-13,67,251,Beauty,30,4.0
83,137,2023-03-07,64,272,Office Supplies,510,3.7
26,140,2023-03-13,59,282,Food & Grocery,550,4.2
83,140,2023-02-24,58,246,Food & Grocery,550,4.2
85,103,2023-02-25,56,254,Home & Kitchen,200,4.2
3,101,2023-03-10,57,243,Electronics,500,4.5
24,125,2023-03-16,59,233,Health & Wellness,70,3.5
25,116,2023-04-05,67,322,Sports & Outdoors,650,3.9
58,116,2023-01-21,39,130,Sports & Outdoors,650,3.9
12,104,2023-03-03,70,235,Beauty,30,4.0
47,134,2023-01-27,44,143,Jewelry & Accessories,170,4.0
84,101,2023-02-28,58,222,Electronics,500,4.5
32,119,2023-01-07,38,128,Toys & Games,540,4.4
81,103,2023-01-02,27,101,Home & Kitchen,200,4.2
72,125,2023-04-18,84,351,Health & Wellness,70,3.5
26,113,2023-04-13,84,344,Furniture,780,3.9
81,122,2023-03-13,65,253,Books & Media,330,4.7
27,102,2023-03-30,65,285,Clothing,50,3.8
47,103,2023-02-25,57,216,Home & Kitchen,200,4.2
61,122,2023-02-27,63,171,Books & Media,330,4.7
9,102,2023-04-03,73,306,Clothing,50,3.8
44,102,2023-01-21,34,178,Clothing,50,3.8
57,134,2023-02-07,43,175,Jewelry & Accessories,170,4.0
3,125,2023-03-23,64,293,Health & Wellness,70,3.5
79,137,2023-03-26,84,322,Office Supplies,510,3.7
28,122,2023-03-30,63,292,Books & Media,330,4.7
52,113,2023-03-29,78,282,Furniture,780,3.9
11,140,2023-03-22,73,207,Food & Grocery,550,4.2
52,101,2023-01-26,38,133,Electronics,500,4.5
48,134,2023-01-31,42,159,Jewelry & Accessories,170,4.0
35,131,2023-02-13,46,227,Pet Supplies,380,3.9
2,125,2023-02-08,50,169,Health & Wellness,70,3.5
10,113,2023-01-14,36,174,Furniture,780,3.9
69,131,2023-01-10,40,116,Pet Supplies,380,3.9
31,140,2023-04-10,73,300,Food & Grocery,550,4.2
42,113,2023-01-28,33,130,Furniture,780,3.9
54,101,2023-02-09,31,170,Electronics,500,4.5
54,131,2023-04-14,55,287,Pet Supplies,380,3.9
38,131,2023-03-25,80,287,Pet Supplies,380,3.9
71,116,2023-02-04,48,221,Sports & Outdoors,650,3.9
21,122,2023-04-02,80,335,Books & Media,330,4.7
39,128,2023-01-25,42,159,Automotive,150,3.8
49,118,2023-01-05,27,130,Sports & Outdoors,780,4.7
60,116,2023-02-06,48,226,Sports & Outdoors,650,3.9
82,128,2023-01-18,44,151,Automotive,150,3.8
55,103,2023-03-13,69,259,Home & Kitchen,200,4.2
76,134,2023-03-28,71,308,Jewelry & Accessories,170,4.0
43,128,2023-03-24,70,273,Automotive,150,3.8
25,137,2023-02-20,45,238,Office Supplies,510,3.7
85,113,2023-02-19,51,242,Furniture,780,3.9
74,134,2023-04-19,79,295,Jewelry & Accessories,170,4.0
39,101,2023-02-09,45,188,Electronics,500,4.5
33,120,2023-01-01,34,139,Toys & Games,230,4.0
31,103,2023-01-02,27,101,Home & Kitchen,200,4.2
62,140,2023-01-12,32,91,Food & Grocery,550,4.2
51,116,2023-04-05,75,278,Sports & Outdoors,650,3.9
82,122,2023-01-29,56,197,Books & Media,330,4.7
49,128,2023-02-07,45,228,Automotive,150,3.8
22,113,2023-01-11,42,172,Furniture,780,3.9
6,119,2023-05-03,76,265,Toys & Games,540,4.4
3,122,2023-03-16,61,270,Books & Media,330,4.7
32,101,2023-01-23,50,177,Electronics,500,4.5
19,131,2023-01-10,40,116,Pet Supplies,380,3.9
4,119,2023-01-17,23,126,Toys & Games,540,4.4
26,131,2023-04-08,77,328,Pet Supplies,380,3.9
30,101,2023-01-17,43,173,Electronics,500,4.5
41,122,2023-01-21,48,175,Books & Media,330,4.7
77,137,2023-01-14,34,149,Office Supplies,510,3.7
2,102,2023-01-02,20,90,Clothing,50,3.8
41,137,2023-02-24,59,230,Office Supplies,510,3.7
29,116,2023-01-09,37,145,Sports & Outdoors,650,3.9
36,116,2023-04-03,61,285,Sports & Outdoors,650,3.9
5,101,2023-01-05,22,110,Electronics,500,4.5
1,137,2023-02-16,47,201,Office Supplies,510,3.7
23,104,2023-03-01,49,261,Beauty,30,4.0
80,131,2023-03-18,75,292,Pet Supplies,380,3.9
30,125,2023-02-06,52,228,Health & Wellness,70,3.5
78,101,2023-03-16,60,278,Electronics,500,4.5
5,113,2023-02-26,62,246,Furniture,780,3.9
50,140,2023-01-14,33,156,Food & Grocery,550,4.2
19,104,2023-02-23,56,190,Beauty,30,4.0
51,113,2023-03-13,63,251,Furniture,780,3.9
82,119,2023-01-07,38,128,Toys & Games,540,4.4
81,125,2023-03-28,69,282,Health & Wellness,70,3.5
74,128,2023-02-11,44,195,Automotive,150,3.8
25,105,2023-01-01,27,148,Electronics,800,4.8
4,101,2023-02-09,31,170,Electronics,500,4.5
10,131,2023-01-03,32,150,Pet Supplies,380,3.9
44,134,2023-03-31,77,326,Jewelry & Accessories,170,4.0
28,128,2023-03-10,54,257,Automotive,150,3.8
37,104,2023-03-21,70,275,Beauty,30,4.0
69,136,2023-01-04,35,92,Jewelry & Accessories,210,4.8
38,101,2023-01-28,49,165,Electronics,500,4.5
7,116,2023-03-18,61,242,Sports & Outdoors,650,3.9
27,137,2023-01-14,34,149,Office Supplies,510,3.7
53,140,2023-04-02,67,307,Food & Grocery,550,4.2
29,103,2023-01-04,30,126,Home & Kitchen,200,4.2
1,134,2023-03-02,52,219,Jewelry & Accessories,170,4.0
41,128,2023-01-09,39,131,Automotive,150,3.8
27,134,2023-01-22,38,159,Jewelry & Accessories,170,4.0
53,137,2023-04-09,71,324,Office Supplies,510,3.7
22,102,2023-02-23,64,250,Clothing,50,3.8
15,122,2023-02-26,65,241,Books & Media,330,4.7
75,113,2023-03-22,60,291,Furniture,780,3.9
4,102,2023-01-09,18,97,Clothing,50,3.8
24,102,2023-01-15,37,156,Clothing,50,3.8
65,128,2023-02-05,53,197,Automotive,150,3.8
67,125,2023-02-15,53,181,Health & Wellness,70,3.5
81,101,2023-03-04,58,224,Electronics,500,4.5
77,113,2023-02-17,49,197,Furniture,780,3.9
59,140,2023-01-18,33,155,Food & Grocery,550,4.2
16,128,2023-02-14,53,150,Automotive,150,3.8
17,128,2023-01-16,36,123,Automotive,150,3.8
63,119,2023-01-18,31,136,Toys & Games,540,4.4
59,131,2023-02-06,46,222,Pet Supplies,380,3.9
26,137,2023-03-19,66,293,Office Supplies,510,3.7
31,116,2023-01-13,32,125,Sports & Outdoors,650,3.9
68,102,2023-02-23,54,228,Clothing,50,3.8
54,119,2023-01-17,23,126,Toys & Games,540,4.4
18,101,2023-04-06,68,288,Electronics,500,4.5
72,104,2023-02-15,60,220,Beauty,30,4.0
37,128,2023-04-20,87,339,Automotive,150,3.8
40,103,2023-03-17,66,314,Home & Kitchen,200,4.2
66,137,2023-04-15,79,254,Office Supplies,510,3.7
38,140,2023-03-05,64,223,Food & Grocery,550,4.2
1,116,2023-04-05,75,278,Sports & Outdoors,650,3.9
29,119,2023-02-07,53,223,Toys & Games,540,4.4
83,113,2023-04-02,77,334,Furniture,780,3.9
53,128,2023-02-27,54,227,Automotive,150,3.8
76,140,2023-03-13,59,282,Food & Grocery,550,4.2
49,122,2023-02-23,54,261,Books & Media,330,4.7
46,122,2023-03-15,64,246,Books & Media,330,4.7
7,122,2023-01-03,26,87,Books & Media,330,4.7
27,113,2023-02-17,49,197,Furniture,780,3.9
11,101,2023-02-19,57,158,Electronics,500,4.5
33,134,2023-03-17,67,299,Jewelry & Accessories,170,4.0
42,116,2023-02-27,47,183,Sports & Outdoors,650,3.9
6,137,2023-01-20,36,119,Office Supplies,510,3.7
15,137,2023-03-21,78,284,Office Supplies,510,3.7
39,140,2023-03-08,63,269,Food & Grocery,550,4.2
52,125,2023-02-08,50,169,Health & Wellness,70,3.5
36,104,2023-04-17,68,307,Beauty,30,4.0
77,103,2023-03-03,53,223,Home & Kitchen,200,4.2
65,102,2023-01-20,43,156,Clothing,50,3.8
48,104,2023-03-21,68,228,Beauty,30,4.0
52,119,2023-01-07,27,101,Toys & Games,540,4.4
50,116,2023-03-15,63,277,Sports & Outdoors,650,3.9
79,101,2023-02-23,61,250,Electronics,500,4.5
78,125,2023-04-10,66,312,Health & Wellness,70,3.5
52,140,2023-02-13,54,185,Food & Grocery,550,4.2
50,137,2023-01-28,36,186,Office Supplies,510,3.7
40,140,2023-01-25,42,192,Food & Grocery,550,4.2
34,104,2023-01-20,40,159,Beauty,30,4.0
68,128,2023-03-24,64,269,Automotive,150,3.8
18,122,2023-04-20,71,300,Books & Media,330,4.7
55,125,2023-01-16,32,152,Health & Wellness,70,3.5
67,122,2023-02-08,48,162,Books & Media,330,4.7
17,101,2023-01-25,43,151,Electronics,500,4.5
3,140,2023-04-02,67,307,Food & Grocery,550,4.2
10,101,2023-03-24,72,304,Electronics,500,4.5
33,128,2023-01-09,37,158,Automotive,150,3.8
38,113,2023-04-05,83,301,Furniture,780,3.9
25,125,2023-01-29,34,188,Health & Wellness,70,3.5
37,134,2023-01-25,47,178,Jewelry & Accessories,170,4.0
56,140,2023-01-05,33,92,Food & Grocery,550,4.2
9,134,2023-01-29,39,192,Jewelry & Accessories,170,4.0
68,103,2023-01-17,39,163,Home & Kitchen,200,4.2
61,125,2023-03-11,69,183,Health & Wellness,70,3.5
77,102,2023-03-30,65,285,Clothing,50,3.8
46,116,2023-01-14,30,141,Sports & Outdoors,650,3.9
58,122,2023-03-17,67,229,Books & Media,330,4.7
59,102,2023-04-03,73,306,Clothing,50,3.8
60,113,2023-01-14,36,174,Furniture,780,3.9
63,137,2023-03-30,64,236,Office Supplies,510,3.7
36,134,2023-02-20,44,204,Jewelry & Accessories,170,4.0
83,103,2023-04-07,83,353,Home & Kitchen,200,4.2
13,128,2023-02-01,38,154,Automotive,150,3.8
45,134,2023-03-12,69,266,Jewelry & Accessories,170,4.0
70,134,2023-04-05,78,345,Jewelry & Accessories,170,4.0
31,122,2023-03-13,65,253,Books & Media,330,4.7
76,137,2023-03-19,66,293,Office Supplies,510,3.7
4,131,2023-04-14,55,287,Pet Supplies,380,3.9
80,128,2023-01-11,39,145,Automotive,150,3.8
14,134,2023-01-16,32,104,Jewelry & Accessories,170,4.0
23,116,2023-02-15,45,247,Sports & Outdoors,650,3.9
75,104,2023-04-19,73,344,Beauty,30,4.0
2,131,2023-03-15,73,254,Pet Supplies,380,3.9
25,122,2023-01-16,31,170,Books & Media,330,4.7
9,140,2023-01-18,33,155,Food & Grocery,550,4.2
25,104,2023-04-19,73,344,Beauty,30,4.0
32,125,2023-02-08,62,207,Health & Wellness,70,3.5
10,104,2023-02-12,53,247,Beauty,30,4.0
9,113,2023-02-21,51,234,Furniture,780,3.9
12,131,2023-02-08,49,141,Pet Supplies,380,3.9
28,114,2023-01-01,25,144,Furniture,120,3.7
48,131,2023-02-07,49,179,Pet Supplies,380,3.9
15,119,2023-01-31,48,181,Toys & Games,540,4.4
29,104,2023-01-15,43,173,Beauty,30,4.0
51,103,2023-03-27,68,262,Home & Kitchen,200,4.2
12,102,2023-03-12,75,249,Clothing,50,3.8
60,101,2023-03-24,72,304,Electronics,500,4.5
9,119,2023-04-14,80,331,Toys & Games,540,4.4
13,101,2023-02-14,44,167,Electronics,500,4.5
6,140,2023-01-05,33,92,Food & Grocery,550,4.2
52,128,2023-01-16,31,111,Automotive,150,3.8
36,131,2023-03-01,47,225,Pet Supplies,380,3.9
3,102,2023-02-05,45,203,Clothing,50,3.8
61,119,2023-01-30,45,129,Toys & Games,540,4.4
49,101,2023-02-12,49,240,Electronics,500,4.5
50,131,2023-02-20,46,230,Pet Supplies,380,3.9
10,102,2023-02-25,59,257,Clothing,50,3.8
19,116,2023-02-17,49,161,Sports & Outdoors,650,3.9
17,103,2023-04-19,84,318,Home & Kitchen,200,4.2
64,134,2023-01-16,32,104,Jewelry & Accessories,170,4.0
38,125,2023-02-20,58,206,Health & Wellness,70,3.5
9,137,2023-01-23,36,168,Office Supplies,510,3.7
70,119,2023-01-21,42,194,Toys & Games,540,4.4
74,102,2023-01-15,37,156,Clothing,50,3.8
14,116,2023-03-07,53,193,Sports & Outdoors,650,3.9
41,120,2023-01-04,35,110,Toys & Games,230,4.0
67,121,2023-01-03,30,109,Toys & Games,470,3.6
6,102,2023-04-18,73,249,Clothing,50,3.8
52,137,2023-02-24,61,212,Office Supplies,510,3.7
1,131,2023-03-07,59,231,Pet Supplies,380,3.9
30,137,2023-02-26,64,265,Office Supplies,510,3.7
65,122,2023-02-26,65,241,Books & Media,330,4.7
50,113,2023-03-03,52,256,Furniture,780,3.9
24,104,2023-01-05,32,130,Beauty,30,4.0
33,103,2023-04-07,83,353,Home & Kitchen,200,4.2
49,140,2023-03-14,63,300,Food & Grocery,550,4.2
43,119,2023-03-16,66,245,Toys & Games,540,4.4
29,125,2023-03-11,73,287,Health & Wellness,70,3.5
1,122,2023-01-18,34,147,Books & Media,330,4.7
84,137,2023-04-10,79,306,Office Supplies,510,3.7
78,104,2023-02-07,38,192,Beauty,30,4.0
51,137,2023-02-16,47,201,Office Supplies,510,3.7
22,104,2023-02-15,60,220,Beauty,30,4.0
43,101,2023-04-01,74,302,Electronics,500,4.5
55,104,2023-03-28,77,298,Beauty,30,4.0
40,116,2023-03-24,73,336,Sports & Outdoors,650,3.9
34,116,2023-01-09,35,133,Sports & Outdoors,650,3.9
18,114,2023-01-04,32,140,Furniture,120,3.7
59,137,2023-01-23,36,168,Office Supplies,510,3.7
48,119,2023-04-18,78,270,Toys & Games,540,4.4
32,137,2023-03-03,71,258,Office Supplies,510,3.7
4,128,2023-01-29,28,156,Automotive,150,3.8
